parcel_id,address,zoning_district,lot_sqft,allowable_uses,vacancy_signal,transit_score
PID-101,10 Main St,MR-1,5000,residential|mixed-use,0.8,0.6
PID-102,22 Green Ave,CC-2,12000,commercial|mixed-use,0.3,0.9
PID-103,35 Oak Rd,R-3,7000,residential,0.6,0.5
PID-104,77 River St,IND-1,40000,industrial|commercial,0.5,0.2
PID-105,9 Harbor Way,MU-1,9000,mixed-use|residential,0.9,0.7
PID-106,15 Park Ave,R-2,6000,residential,0.7,0.8
PID-107,88 Market St,CC-1,15000,commercial|mixed-use,0.4,0.9
PID-108,42 Elm St,R-1,8000,residential,0.5,0.4
PID-109,123 Industrial Blvd,IND-2,50000,industrial,0.6,0.1
PID-110,55 Waterfront Dr,MU-2,11000,mixed-use|residential|commercial,0.8,0.8
